'28113','6','2','9','75072',NULL,NULL
'28113','9','2','13','##1',NULL,NULL
'28113','16','2','9','55005',NULL,NULL
'28113','252','8','13','67167',NULL,NULL
'28113','254','8','10','67027',NULL,NULL
'28113','319','2','13','64182',NULL,NULL
'28113','320','2','13','05049393',NULL,NULL
'28113','386','2','9','67619',NULL,NULL
'28113','386','2','10','67619',NULL,NULL
'28113','403','8','10','049609601116',NULL,NULL
'28113','404','8','10','049609602666',NULL,NULL
'28113','405','8','10','049628148976',NULL,NULL
'28113','412','2','13','082012124',NULL,NULL
'28113','413','2','13','082012123',NULL,NULL
'28113','414','2','13','082012125',NULL,NULL
'28113','415','2','13','082012126',NULL,NULL
'28113','416','8','13','082012127',NULL,NULL
'28113','417','2','13','082012128',NULL,NULL
'28113','418','2','13','082012129',NULL,NULL
'28113','447','2','10','67098',NULL,NULL
'28113','454','2','13','60002',NULL,NULL
'28113','537','8','10','63411',NULL,NULL
'28113','539','8','10','67394',NULL,NULL
'28113','551','8','10','67017',NULL,NULL
'28113','570','8','10','64900',NULL,NULL
'28113','580','8','9','62508',NULL,NULL
'28113','770','2','9','63930',NULL,NULL
'28113','772','2','9','63233',NULL,NULL
'28113','782','8','9','67160',NULL,NULL
'28113','807','2','10','68239',NULL,NULL
'28113','1354','8','13','032618517200851',NULL,NULL
'28113','1416','2','10','63674',NULL,NULL
'28113','1465','2','9','05049366',NULL,NULL
'28113','1495','2','9','05028165',NULL,NULL
'28113','1547','2','10','67172',NULL,NULL
'28113','1717','2','10','67593',NULL,NULL
'28113','1922','8','10','67014',NULL,NULL
'28113','1934','8','10','67000',NULL,NULL
'28113','1940','2','9','09757555005',NULL,NULL
